"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:57:51,7154390","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_14.sst","NO SUCH FILE","Filter: Water_Ocean_14.sst"
"15:57:51,7157496","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_14.sst","NO SUCH FILE","Filter: Water_Ocean_14.sst"
"15:57:51,7300021","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_13.sst","NO SUCH FILE","Filter: Water_Ocean_13.sst"
"15:57:51,7303203","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_13.sst","NO SUCH FILE","Filter: Water_Ocean_13.sst"
"15:57:51,7312911","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_12.sst","NO SUCH FILE","Filter: Water_Ocean_12.sst"
"15:57:51,7315988","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_12.sst","NO SUCH FILE","Filter: Water_Ocean_12.sst"
"15:57:51,7482807","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_11.sst","NO SUCH FILE","Filter: Water_Ocean_11.sst"
"15:57:51,7485946","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_11.sst","NO SUCH FILE","Filter: Water_Ocean_11.sst"
"15:57:51,7668822","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_10.sst","NO SUCH FILE","Filter: Water_Ocean_10.sst"
"15:57:51,7672748","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_10.sst","NO SUCH FILE","Filter: Water_Ocean_10.sst"
"15:57:51,7686463","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_9.sst","NO SUCH FILE","Filter: Water_Ocean_9.sst"
"15:57:51,7689604","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_9.sst","NO SUCH FILE","Filter: Water_Ocean_9.sst"
"15:57:51,7844966","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_8.sst","NO SUCH FILE","Filter: Water_Ocean_8.sst"
"15:57:51,7851598","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_8.sst","NO SUCH FILE","Filter: Water_Ocean_8.sst"
"15:57:51,8027131","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_7.sst","NO SUCH FILE","Filter: Water_Ocean_7.sst"
"15:57:51,8030109","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_7.sst","NO SUCH FILE","Filter: Water_Ocean_7.sst"
"15:57:51,8208816","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_6.sst","NO SUCH FILE","Filter: Water_Ocean_6.sst"
"15:57:51,8214143","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_6.sst","NO SUCH FILE","Filter: Water_Ocean_6.sst"
"15:57:51,8376083","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_5.sst","NO SUCH FILE","Filter: Water_Ocean_5.sst"
"15:57:51,8379220","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_5.sst","NO SUCH FILE","Filter: Water_Ocean_5.sst"
"15:57:51,8546207","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_4.sst","NO SUCH FILE","Filter: Water_Ocean_4.sst"
"15:57:51,8549266","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_4.sst","NO SUCH FILE","Filter: Water_Ocean_4.sst"
"15:57:51,8727254","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_3.sst","NO SUCH FILE","Filter: Water_Ocean_3.sst"
"15:57:51,8734143","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_3.sst","NO SUCH FILE","Filter: Water_Ocean_3.sst"
"15:57:51,8911364","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_2.sst","NO SUCH FILE","Filter: Water_Ocean_2.sst"
"15:57:51,8913870","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\Water_Ocean_2.sst","NO SUCH FILE","Filter: Water_Ocean_2.sst"
"15:57:51,9092472","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\BaseGrass_1_4.sst","NO SUCH FILE","Filter: BaseGrass_1_4.sst"
"15:57:51,9094997","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\BaseGrass_1_4.sst","NO SUCH FILE","Filter: BaseGrass_1_4.sst"
"15:57:51,9274938","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\BaseGrass_1_3.sst","NO SUCH FILE","Filter: BaseGrass_1_3.sst"
"15:57:51,9277598","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\BaseGrass_1_3.sst","NO SUCH FILE","Filter: BaseGrass_1_3.sst"
"15:57:51,9437688","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\BaseGrass_1_2.sst","NO SUCH FILE","Filter: BaseGrass_1_2.sst"
"15:57:51,9440354","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\BaseGrass_1_2.sst","NO SUCH FILE","Filter: BaseGrass_1_2.sst"
"15:57:52,0061661","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\sha_unitdefault_00T.sst","NO SUCH FILE","Filter: sha_unitdefault_00T.sst"
"15:57:52,0064054","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\sha_unitdefault_00T.sst","NO SUCH FILE","Filter: sha_unitdefault_00T.sst"
"15:57:52,0068559","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\zut_smileyface_00T.sst","NO SUCH FILE","Filter: zut_smileyface_00T.sst"
"15:57:52,0071376","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\zut_smileyface_00T.sst","NO SUCH FILE","Filter: zut_smileyface_00T.sst"
"15:57:52,0487471","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\gen_deathT.sst","NO SUCH FILE","Filter: gen_deathT.sst"
"15:57:52,0490366","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\gen_deathT.sst","NO SUCH FILE","Filter: gen_deathT.sst"
"15:57:52,0805716","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_citizen_01T.sst","NO SUCH FILE","Filter: men_citizen_01T.sst"
"15:57:52,0811989","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_citizen_01T.sst","NO SUCH FILE","Filter: men_citizen_01T.sst"
"15:57:52,0858049","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_citizenhunt_01T.sst","NO SUCH FILE","Filter: men_citizenhunt_01T.sst"
"15:57:52,0861653","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_citizenhunt_01T.sst","NO SUCH FILE","Filter: men_citizenhunt_01T.sst"
"15:57:52,0995146","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_citizenbuild_01T.sst","NO SUCH FILE","Filter: men_citizenbuild_01T.sst"
"15:57:52,1000581","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_citizenbuild_01T.sst","NO SUCH FILE","Filter: men_citizenbuild_01T.sst"
"15:57:52,1031971","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_citizencarry_01T.sst","NO SUCH FILE","Filter: men_citizencarry_01T.sst"
"15:57:52,1036448","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_citizencarry_01T.sst","NO SUCH FILE","Filter: men_citizencarry_01T.sst"
"15:57:52,1112181","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_citizenchop_01T.sst","NO SUCH FILE","Filter: men_citizenchop_01T.sst"
"15:57:52,1115040","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\men_citizenchop_01T.sst","NO SUCH FILE","Filter: men_citizenchop_01T.sst"
"15:57:52,1248218","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\but_citizen_01T.sst","NO SUCH FILE","Filter: but_citizen_01T.sst"
"15:57:52,1251040","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\but_citizen_01T.sst","NO SUCH FILE","Filter: but_citizen_01T.sst"
"15:57:52,1281331","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\fx_spear_00T.sst","NO SUCH FILE","Filter: fx_spear_00T.sst"
"15:57:52,1284108","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\fx_spear_00T.sst","NO SUCH FILE","Filter: fx_spear_00T.sst"
"15:57:52,1287542","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\act_timedbomber.sst","NO SUCH FILE","Filter: act_timedbomber.sst"
"15:57:52,1289977","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\act_timedbomber.sst","NO SUCH FILE","Filter: act_timedbomber.sst"
"15:57:52,1298478","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\sfx_navalripple.sst","NO SUCH FILE","Filter: sfx_navalripple.sst"
"15:57:52,1301047","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\sfx_navalripple.sst","NO SUCH FILE","Filter: sfx_navalripple.sst"
"15:57:52,1309469","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\sfx_bloodSpray1.sst","NO SUCH FILE","Filter: sfx_bloodSpray1.sst"
"15:57:52,1312114","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\sfx_bloodSpray1.sst","NO SUCH FILE","Filter: sfx_bloodSpray1.sst"
"15:57:52,1640608","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\fx_pulseuniteffect_12T.sst","NO SUCH FILE","Filter: fx_pulseuniteffect_12T.sst"
"15:57:52,1647143","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\fx_pulseuniteffect_12T.sst","NO SUCH FILE","Filter: fx_pulseuniteffect_12T.sst"
"15:57:52,1666982","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\fx_shieldbattery_12T.sst","NO SUCH FILE","Filter: fx_shieldbattery_12T.sst"
"15:57:52,1669867","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\fx_shieldbattery_12T.sst","NO SUCH FILE","Filter: fx_shieldbattery_12T.sst"
"15:57:52,1688296","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\sfx_light_glow.sst","NO SUCH FILE","Filter: sfx_light_glow.sst"
